"index","2008","2009","2015","2014","2010","2005","2011","2007","2013","2012","2006","classification_1"
0,41.7474,41.6518,34.321,33.0903,40.1777,38.4309,41.561,40.9918,31.9719,33.3377,41.369,"Brand"
1,40.0059,38.3898,26.9136,41.3181,39.2394,43.7634,35.5408,43.1507,57.1685,58.7779,43.4441,"Dienstverlening"
2,16.652,18.7785,38.4832,25.4678,19.2054,16.6411,21.1977,14.3113,10.7631,7.5821,14.0822,"Gezondheid"
3,1.5948,1.1799,0.2822,0.1238,1.3775,1.1646,1.7005,1.5461,0.0966,0.3022,1.1047,"Verkeer"
